HDR,ROLLING SYSTEM DEMAND
VD,20220120072000,39812
VD,20220120072500,40298
VD,20220120073000,40605
VD,20220120073500,40669
VD,20220120074000,40737
VD,20220120074500,40998
VD,20220120075000,41259
VD,20220120075500,41514
VD,20220120080000,41679
VD,20220120080500,41862
VD,20220120081000,42072
VD,20220120081500,42324
VD,20220120082000,42506
VD,20220120082500,42572
VD,20220120083000,42464
VD,20220120083500,42596
VD,20220120084000,42694
VD,20220120084500,42688
VD,20220120085000,42704
VD,20220120085500,42793
VD,20220120090000,42765
VD,20220120090500,42682
VD,20220120091000,42570
VD,20220120091500,42618
VD,20220120092000,42668
VD,20220120092500,42387
VD,20220120093000,42385
VD,20220120093500,42167
VD,20220120094000,42034
VD,20220120094500,42065
VD,20220120095000,42090
VD,20220120095500,42021
VD,20220120100000,42064
VD,20220120100500,42147
VD,20220120101000,42127
VD,20220120101500,41947
VD,20220120102000,41766
VD,20220120102500,41593
VD,20220120103000,41505
VD,20220120103500,41516
VD,20220120104000,41528
VD,20220120104500,41402
VD,20220120105000,41363
VD,20220120105500,41242
VD,20220120110000,41111
VD,20220120110500,40629
VD,20220120111000,40512
VD,20220120111500,40453
VD,20220120112000,40286
VD,20220120112500,40294
VD,20220120113000,40198
VD,20220120113500,40133
VD,20220120114000,40183
VD,20220120114500,40121
VD,20220120115000,40073
VD,20220120115500,39986
VD,20220120120000,40038
VD,20220120120500,40278
VD,20220120121000,40306
VD,20220120121500,40294
VD,20220120122000,40324
VD,20220120122500,40290
VD,20220120123000,40259
VD,20220120123500,40442
VD,20220120124000,40526
VD,20220120124500,40526
VD,20220120125000,40460
VD,20220120125500,40394
VD,20220120130000,40358
VD,20220120130500,40330
VD,20220120131000,40433
VD,20220120131500,40572
VD,20220120132000,40643
VD,20220120132500,40630
VD,20220120133000,40651
VD,20220120133500,40643
VD,20220120134000,40676
VD,20220120134500,40739
VD,20220120135000,40819
VD,20220120135500,40782
VD,20220120140000,40874
VD,20220120140500,41106
VD,20220120141000,41362
VD,20220120141500,41352
VD,20220120142000,41403
VD,20220120142500,41525
VD,20220120143000,41557
VD,20220120143500,41623
VD,20220120144000,41535
VD,20220120144500,41587
VD,20220120145000,41684
VD,20220120145500,41612
VD,20220120150000,41505
VD,20220120150500,41175
VD,20220120151000,41194
VD,20220120151500,41193
VD,20220120152000,41305
VD,20220120152500,41457
VD,20220120153000,41535
VD,20220120153500,41641
VD,20220120154000,41726
VD,20220120154500,41881
VD,20220120155000,42212
VD,20220120155500,42373
VD,20220120160000,42682
VD,20220120160500,42968
VD,20220120161000,43097
VD,20220120161500,43278
VD,20220120162000,43515
VD,20220120162500,43606
VD,20220120163000,43815
VD,20220120163500,44150
VD,20220120164000,44527
VD,20220120164500,44929
VD,20220120165000,45336
VD,20220120165500,45520
VD,20220120170000,45611
VD,20220120170500,45674
VD,20220120171000,45791
VD,20220120171500,45906
VD,20220120172000,46121
VD,20220120172500,46194
VD,20220120173000,46125
VD,20220120173500,46096
VD,20220120174000,46044
VD,20220120174500,45971
VD,20220120175000,45944
VD,20220120175500,45800
VD,20220120180000,45657
VD,20220120180500,45708
VD,20220120181000,45768
VD,20220120181500,45683
VD,20220120182000,45653
VD,20220120182500,45533
VD,20220120183000,45285
VD,20220120183500,45320
VD,20220120184000,45364
VD,20220120184500,45271
VD,20220120185000,45053
VD,20220120185500,44765
VD,20220120190000,44647
VD,20220120190500,44619
VD,20220120191000,44734
VD,20220120191500,44569
VD,20220120192000,44542
VD,20220120192500,44304
VD,20220120193000,44087
VD,20220120193500,43822
VD,20220120194000,43612
VD,20220120194500,43394
VD,20220120195000,43219
VD,20220120195500,43007
VD,20220120200000,42741
VD,20220120200500,42194
VD,20220120201000,41837
VD,20220120201500,41543
VD,20220120202000,41288
VD,20220120202500,40985
VD,20220120203000,40794
VD,20220120203500,40752
VD,20220120204000,40702
VD,20220120204500,40590
VD,20220120205000,40433
VD,20220120205500,39940
VD,20220120210000,39714
VD,20220120210500,39582
VD,20220120211000,39154
VD,20220120211500,38792
VD,20220120212000,38454
VD,20220120212500,38227
VD,20220120213000,38022
VD,20220120213500,37632
VD,20220120214000,37200
VD,20220120214500,36939
VD,20220120215000,36601
VD,20220120215500,36259
VD,20220120220000,35840
VD,20220120220500,35648
VD,20220120221000,35565
VD,20220120221500,35421
VD,20220120222000,34853
VD,20220120222500,34593
VD,20220120223000,34374
VD,20220120223500,34242
VD,20220120224000,34033
VD,20220120224500,33859
VD,20220120225000,33484
VD,20220120225500,33017
VD,20220120230000,32715
VD,20220120230500,32371
VD,20220120231000,32276
VD,20220120231500,32140
VD,20220120232000,32151
VD,20220120232500,32045
VD,20220120233000,31954
VD,20220120233500,31841
VD,20220120234000,31752
VD,20220120234500,31616
VD,20220120235000,31691
VD,20220120235500,31715
VD,20220121000000,31525
VD,20220121000500,31336
VD,20220121001000,31494
VD,20220121001500,31416
VD,20220121002000,31324
VD,20220121002500,31366
VD,20220121003000,31396
VD,20220121003500,31554
VD,20220121004000,31820
VD,20220121004500,31949
VD,20220121005000,32042
VD,20220121005500,32093
VD,20220121010000,32120
VD,20220121010500,32094
VD,20220121011000,31964
VD,20220121011500,31886
VD,20220121012000,31846
VD,20220121012500,31802
VD,20220121013000,31656
VD,20220121013500,31576
VD,20220121014000,31430
VD,20220121014500,31325
VD,20220121015000,31188
VD,20220121015500,31110
